Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,GLON,GLAT,Gmag,BP-RP,e_Gmag,e_BP-RP,probs
5290742857853957504,119.26284550504568,-60.54785236890288,2.464706728760144,0.01042,-4.910271238227772,0.013137049,10.50110735705648,0.012098957,24.262255,5.9641156,273.5665531432133,-15.871277106240722,12.533557697345909,0.8504560623236319,0.0027714168901386855,0.004891185221081152,1.0
5290742582976042496,119.15218009516713,-60.55635894240788,2.4653434358510804,0.010921609,-4.328324570274384,0.013841456,11.574667853595642,0.013678726,20.602095,2.056227,273.54839001953223,-15.923500631681415,10.846460074284712,0.46109058990461804,0.0027603591530959955,0.0047195679326226285,1.0
5290742411177350144,119.18375943730658,-60.58112745815718,2.44334204209638,0.011216376,-4.614535561632493,0.015701244,11.469018255482416,0.012383173,23.369604,2.681709,273.57868082648554,-15.921094539155035,13.35562899983978,0.978051682784713,0.0027806809673092065,0.005099402202571985,1.0
5290658985733281280,119.18967907436796,-61.24197775014616,2.5973938924723816,0.08472307,-5.046328170053671,0.12734707,11.693405332110036,0.11917481,,,274.1913313618992,-16.221355370323362,17.727957180593442,2.5445527450094474,0.003039136406592858,0.02156728503565958,1.0
5290637957573221760,118.7390233109034,-61.29218830880862,2.236839102619919,0.031082705,-4.171182216289862,0.039693147,10.984202965466716,0.03648418,,,274.1354600502356,-16.437179457576065,15.805261231755738,1.9822863622118678,0.0029771578667922476,0.00829954105632976,1.0
5290742273738391680,119.14190088255567,-60.59931340770028,2.381039331685261,0.11718464,-4.899517581315532,0.15457706,10.782629999636256,0.15672351,,,273.5856656754426,-15.947704976018592,18.328414048745692,2.664089587026652,0.003102171438439442,0.04966518537855624,1.0
5294106946818448640,117.52841818127072,-59.33908307964957,2.308589908856105,0.014157176,-3.919116889370821,0.017788636,10.437964577926278,0.016384494,22.495039,4.2767725,272.03655279921014,-16.099489472629642,14.027288519769053,1.1316095566012496,0.002807834072084466,0.005658731640240812,1.0
5290743849989134848,119.20607171689493,-60.526075066887294,2.4830258555178726,0.054380734,-4.519913940678592,0.078043066,10.958538654403148,0.065188855,,,273.5330893116918,-15.886043569426912,17.150095500847023,2.262840267967565,0.0028778774354812266,0.014494636152215582,1.0
5291244853630884096,121.22189615947022,-59.77376313635794,2.4300612268446624,0.015071025,-4.605956209131694,0.020362586,10.81386051944849,0.017070742,23.910423,3.0932205,273.3393161545906,-14.64608447345991,13.973461325753629,1.156500456460984,0.002801867177237856,0.005252796632402056,1.0
5290634143642439168,118.94887484530788,-61.32152912375754,2.49766770768624,0.1172108,-4.491017636511248,0.13519485,11.31692298689128,0.1550575,,,274.2102422584577,-16.3605927087806,18.14442002628035,2.6655348904850484,0.0030555443851194184,0.05370031338336428,1.0
