# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Jun 11 02:10:21 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0055 -0.44261 7.00000 1.7575756311 3.2532052994    1.756  1.129  3.9897  4.465    0 1.948 2.120 2.170 2.158 2.165 2.174 2.199 2.207 2.211
0.0055 -0.44261 7.00000 1.7892701626 3.2556028366    1.788  1.161  3.9966  4.468    0 1.867 2.043 2.111 2.108 2.119 2.133 2.166 2.177 2.182
0.0055 -0.44261 7.00000 1.8387321234 3.2591488361    1.838  1.208  4.0064  4.472    0 1.750 1.931 2.026 2.036 2.053 2.073 2.117 2.132 2.140
0.0055 -0.44261 7.00000 1.8881943226 3.2624747753    1.887  1.254  4.0158  4.476    0 1.636 1.824 1.946 1.968 1.989 2.015 2.069 2.087 2.098
0.0055 -0.44261 7.00000 1.9376561642 3.2655994892    1.937  1.298  4.0250  4.479    0 1.525 1.720 1.869 1.902 1.927 1.957 2.021 2.043 2.056
0.0055 -0.44261 7.00000 1.9871183634 3.2685401440    1.987  1.341  4.0337  4.482    0 1.417 1.620 1.796 1.839 1.867 1.901 1.974 1.998 2.014
0.0055 -0.44261 7.00000 2.0365805626 3.2713086605    2.036  1.382  4.0418  4.484    0 1.314 1.527 1.728 1.778 1.809 1.846 1.928 1.955 1.972
0.0055 -0.44261 7.00000 2.0860424042 3.2739148140    2.085  1.423  4.0497  4.485    0 1.213 1.435 1.661 1.718 1.752 1.792 1.882 1.911 1.931
0.0055 -0.44261 7.00000 2.1355042458 3.2763714790    2.134  1.462  4.0574  4.486    0 1.114 1.348 1.597 1.660 1.696 1.739 1.836 1.868 1.889
0.0055 -0.44261 7.00000 2.1849665642 3.2786903381    2.184  1.501  4.0647  4.487    0 1.018 1.264 1.536 1.604 1.642 1.688 1.792 1.825 1.849
0.0055 -0.44261 7.00000 2.2344286442 3.2808821201    2.233  1.538  4.0716  4.488    0 0.926 1.183 1.476 1.549 1.589 1.638 1.748 1.783 1.808
0.0055 -0.44261 7.00000 2.2838907242 3.2829561234    2.282  1.574  4.0785  4.488    0 0.834 1.105 1.417 1.495 1.536 1.588 1.705 1.741 1.768
0.0055 -0.44261 7.00000 2.3333525658 3.2849211693    2.332  1.609  4.0849  4.488    0 0.746 1.030 1.361 1.443 1.486 1.540 1.662 1.701 1.729
0.0055 -0.44261 7.00000 2.3828148842 3.2867851257    2.382  1.644  4.0912  4.488    0 0.661 0.958 1.306 1.393 1.436 1.493 1.621 1.661 1.690
0.0055 -0.44261 7.00000 2.4322769642 3.2885553837    2.430  1.677  4.0973  4.488    0 0.578 0.888 1.254 1.344 1.389 1.447 1.581 1.622 1.653
0.0055 -0.44261 7.00000 2.6301250458 3.2948086262    2.629  1.803  4.1197  4.485    0 0.262 0.627 1.052 1.155 1.205 1.271 1.423 1.470 1.505
0.0055 -0.44261 7.00000 2.8279733658 3.2999522686    2.827  1.919  4.1391  4.478    1 -0.029 0.389 0.862 0.976 1.030 1.103 1.270 1.321 1.360
0.0055 -0.44261 7.00000 3.0258216858 3.3042385578    3.025  2.028  4.1569  4.471    1 -0.299 0.171 0.687 0.810 0.868 0.946 1.127 1.182 1.224
0.0055 -0.44261 7.00000 3.2236697674 3.3078520298    3.222  2.129  4.1741  4.466    1 -0.552 -0.028 0.527 0.659 0.721 0.804 0.998 1.056 1.101
0.0055 -0.44261 7.00000 3.4215178490 3.3109159470    3.419  2.223  4.1892  4.458    1 -0.787 -0.213 0.374 0.513 0.580 0.667 0.871 0.933 0.981
0.0055 -0.44261 7.00000 3.6193659306 3.3135344982    3.617  2.311  4.2024  4.447    1 -1.008 -0.388 0.226 0.372 0.441 0.533 0.746 0.810 0.860
0.0055 -0.44261 7.00000 3.8172140121 3.3157918453    3.815  2.394  4.2151  4.438    1 -1.216 -0.551 0.088 0.240 0.313 0.408 0.630 0.696 0.749
0.0055 -0.44261 7.00000 4.0150623322 3.3177528381    4.015  2.474  4.2286  4.434    1 -1.415 -0.701 -0.037 0.123 0.198 0.298 0.528 0.597 0.652
0.0055 -0.44261 7.00000 4.2129106522 3.3194622993    4.211  2.548  4.2396  4.425    1 -1.601 -0.847 -0.162 0.003 0.081 0.184 0.421 0.493 0.550
0.0055 -0.44261 7.00000 4.4107589722 3.3209593296    4.408  2.620  4.2505  4.416    1 -1.779 -0.986 -0.281 -0.111 -0.030 0.076 0.320 0.394 0.453
0.0055 -0.44261 7.00000 4.6086072922 3.3222782612    4.606  2.688  4.2606  4.408    1 -1.949 -1.118 -0.395 -0.219 -0.136 -0.027 0.224 0.299 0.360
0.0055 -0.44261 7.00000 4.8064551353 3.3234462738    4.805  2.753  4.2706  4.401    1 -2.112 -1.244 -0.503 -0.323 -0.237 -0.125 0.132 0.209 0.272
0.0055 -0.44261 7.00000 5.0043039322 3.3244862556    5.003  2.815  4.2800  4.394    1 -2.268 -1.365 -0.607 -0.422 -0.335 -0.220 0.043 0.123 0.187
0.0055 -0.44261 7.00000 5.2021517754 3.3254146576    5.202  2.875  4.2889  4.387    1 -2.417 -1.481 -0.708 -0.519 -0.429 -0.311 -0.043 0.038 0.104
0.0055 -0.44261 7.00000 5.4000000954 3.3262448311    5.401  2.932  4.2975  4.380    1 -2.561 -1.593 -0.805 -0.612 -0.520 -0.400 -0.126 -0.043 0.024
0.0055 -0.44261 7.00000 5.5662188530 3.3268764019    5.566  2.979  4.3044  4.374    1 -2.677 -1.684 -0.884 -0.688 -0.594 -0.472 -0.194 -0.110 -0.041
0.0055 -0.44261 7.00000 5.6649255753 3.3272261620    5.665  3.006  4.3084  4.371    1 -2.745 -1.737 -0.930 -0.732 -0.638 -0.514 -0.234 -0.149 -0.080
0.0055 -0.44261 7.00000 5.7324385643 3.3274550438    5.732  3.024  4.3111  4.369    1 -2.790 -1.772 -0.961 -0.762 -0.667 -0.543 -0.261 -0.175 -0.106
0.0055 -0.44261 7.00000 5.7347559929 3.3274629116    5.735  3.025  4.3112  4.369    1 -2.792 -1.773 -0.963 -0.763 -0.668 -0.544 -0.262 -0.176 -0.106
0.0055 -0.44261 7.00000 5.8986577988 3.3279864788    5.898  3.068  4.3176  4.363    1 -2.900 -1.859 -1.037 -0.834 -0.738 -0.612 -0.326 -0.239 -0.168
0.0055 -0.44261 7.00000 6.0648765564 3.3284757137    6.064  3.111  4.3238  4.357    1 -3.008 -1.943 -1.111 -0.905 -0.807 -0.679 -0.390 -0.302 -0.230
0.0055 -0.44261 7.00000 6.2310962677 3.3289272785    6.230  3.153  4.3299  4.351    1 -3.112 -2.025 -1.183 -0.974 -0.875 -0.745 -0.452 -0.363 -0.290
0.0055 -0.44261 7.00000 6.2891135216 3.3290765285    6.287  3.167  4.3319  4.349    1 -3.147 -2.053 -1.207 -0.998 -0.898 -0.768 -0.473 -0.383 -0.310
0.0055 -0.44261 7.00000 6.7297534943 3.3300871849    6.720  3.269  4.3466  4.334    1 -3.403 -2.256 -1.386 -1.170 -1.067 -0.932 -0.629 -0.536 -0.460
0.0055 -0.44261 7.00000 7.0955233574 3.3307852745    7.082  3.349  4.3579  4.322    1 -3.603 -2.415 -1.528 -1.306 -1.201 -1.063 -0.753 -0.657 -0.578
0.0055 -0.44261 7.00000 7.5608496666 3.3315293789    7.542  3.446  4.3714  4.307    1 -3.846 -2.610 -1.701 -1.474 -1.365 -1.223 -0.905 -0.807 -0.725
0.0055 -0.44261 7.00000 7.8704090118 3.3319518566    7.852  3.508  4.3798  4.296    1 -4.001 -2.736 -1.813 -1.582 -1.472 -1.328 -1.005 -0.904 -0.821
0.0055 -0.44261 7.00000 8.3919458389 3.3325579166    8.376  3.609  4.3932  4.277    1 -4.252 -2.941 -1.997 -1.761 -1.648 -1.500 -1.169 -1.065 -0.979
0.0055 -0.44261 7.00000 8.9601974487 3.3330962658    8.945  3.712  4.4064  4.255    1 -4.509 -3.208 -2.203 -1.936 -1.831 -1.707 -1.379 -1.295 -1.214
0.0055 -0.44261 7.00000 9.2230415344 3.3333106041    9.209  3.758  4.4121  4.245    1 -4.625 -3.296 -2.288 -2.013 -1.906 -1.783 -1.457 -1.371 -1.283
0.0055 -0.44261 7.00000 9.4367256165 3.3334712982    9.421  3.793  4.4164  4.237    1 -4.713 -3.364 -2.353 -2.073 -1.965 -1.841 -1.517 -1.430 -1.336
0.0055 -0.44261 7.00000 10.0262908936 3.3338599205   10.006  3.888  4.4275  4.212    1 -4.950 -3.557 -2.536 -2.250 -2.137 -2.010 -1.685 -1.593 -1.488
0.0055 -0.44261 7.00000 10.0541372299 3.3338766098   10.034  3.892  4.4280  4.211    1 -4.961 -3.567 -2.545 -2.259 -2.147 -2.020 -1.693 -1.601 -1.496
0.0055 -0.44261 7.00000 10.5085515976 3.3341274261   10.487  3.962  4.4358  4.192    1 -5.135 -3.725 -2.692 -2.414 -2.300 -2.164 -1.822 -1.728 -1.626
0.0055 -0.44261 7.00000 10.8852338791 3.3343102932   10.862  4.018  4.4418  4.175    1 -5.276 -3.852 -2.810 -2.538 -2.422 -2.280 -1.926 -1.832 -1.732
0.0055 -0.44261 7.00000 11.1758651733 3.3344376087   11.151  4.060  4.4461  4.162    1 -5.380 -3.945 -2.897 -2.629 -2.512 -2.366 -2.004 -1.910 -1.812
0.0055 -0.44261 7.00000 11.5817527771 3.3345985413   11.554  4.117  4.4516  4.142    1 -5.523 -4.069 -3.015 -2.748 -2.629 -2.480 -2.111 -2.016 -1.921
