# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed Apr 17 12:15:03 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01 -0.17553 7.00000 1.3398650885 2.5238582421    1.340  0.485  3.7737  4.127    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 3.557 3.443 3.743 2.976
0.01 -0.17553 7.00000 1.3609726429 2.5260724768    1.361  0.553  3.7813  4.096    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 3.387 3.270 3.554 2.822
0.01 -0.17553 7.00000 1.3717391491 2.5271717768    1.372  0.588  3.7853  4.080    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 3.300 3.182 3.458 2.743
0.01 -0.17553 7.00000 1.3761581182 2.5276172484    1.376  0.603  3.7870  4.074    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 3.264 3.146 3.418 2.711
0.01 -0.17553 7.00000 1.3943549395 2.5294174846    1.394  0.660  3.7940  4.050    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 3.119 3.001 3.260 2.583
0.01 -0.17553 7.00000 1.4130442142 2.5312110447    1.413  0.717  3.8018  4.030    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.400e-03 -1.000 1.000e-02 2.977 2.859 3.102 2.459
0.01 -0.17553 7.00000 1.4195654392 2.5318241024    1.420  0.737  3.8046  4.024    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.22e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.400e-03 -1.000 1.000e-02 2.929 2.811 3.049 2.418
0.01 -0.17553 7.00000 1.4268299341 2.5324994521    1.427  0.758  3.8079  4.018    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.28e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.400e-03 -1.000 1.000e-02 2.874 2.757 2.988 2.372
0.01 -0.17553 7.00000 1.4422776699 2.5339095906    1.442  0.802  3.8154  4.009    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.400e-03 -1.000 1.000e-02 2.766 2.650 2.867 2.283
0.01 -0.17553 7.00000 1.4599021673 2.5354765934    1.460  0.847  3.8252  4.008    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.46e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.400e-03 -1.000 1.000e-02 2.653 2.538 2.739 2.194
0.01 -0.17553 7.00000 1.4673912525 2.5361293612    1.467  0.863  3.8299  4.013    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.46e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.400e-03 -1.000 1.000e-02 2.613 2.498 2.690 2.164
