EDR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,_x,_y,Gmag,BP-RP,e_Gmag,e_BP-RP
163,115.9055,-24.0896,-0.274,0.198,-0.905,0.129,1.487,0.208,-0.237,-0.215,18.938,1.56,0.003,0.03
164,115.9135,-24.0838,0.308,0.064,-1.425,0.045,2.936,0.067,-0.231,-0.208,16.388,0.994,0.003,0.007
165,115.9015,-24.0768,0.356,0.074,-0.525,0.05,1.799,0.075,-0.224,-0.219,17.393,1.393,0.003,0.008
166,115.8986,-24.0818,0.094,0.07,-1.296,0.049,1.902,0.071,-0.229,-0.221,17.286,0.816,0.003,0.009
167,115.9318,-24.0839,0.229,0.166,-1.347,0.117,2.103,0.177,-0.231,-0.191,18.778,1.487,0.003,0.035
168,115.9311,-24.0819,0.409,0.087,-1.635,0.061,0.217,0.091,-0.229,-0.192,17.718,1.292,0.003,0.011
169,115.9295,-24.0874,0.361,0.096,-1.957,0.065,-0.702,0.098,-0.235,-0.193,17.875,1.409,0.003,0.019
170,115.9248,-24.0784,0.198,0.207,-1.208,0.143,2.007,0.214,-0.226,-0.197,18.976,1.455,0.003,0.031
171,115.9365,-24.083,0.261,0.014,-3.298,0.01,2.478,0.015,-0.23,-0.187,14.029,1.445,0.003,0.005
172,115.9299,-24.0858,0.475,0.014,0.137,0.009,-0.582,0.014,-0.233,-0.193,12.943,1.499,0.003,0.005
173,115.927,-24.0889,0.325,0.061,-1.826,0.042,3.725,0.065,-0.236,-0.195,17.097,1.198,0.003,0.008
174,115.9386,-24.0755,0.208,0.031,-1.288,0.022,2.193,0.032,-0.223,-0.185,15.838,0.762,0.003,0.005
175,115.9337,-24.0761,0.491,0.099,-4.377,0.066,1.488,0.104,-0.223,-0.189,17.898,1.359,0.003,0.011
176,115.9477,-24.0729,0.24,0.123,-2.248,0.085,2.74,0.131,-0.22,-0.176,18.303,1.403,0.003,0.017
177,115.9305,-24.0708,0.291,0.096,-2.483,0.069,4.4,0.105,-0.218,-0.192,17.849,1.205,0.003,0.012
178,115.9422,-24.0654,0.396,0.186,-2.286,0.132,3.548,0.206,-0.213,-0.182,18.915,1.36,0.003,0.031
179,115.9398,-24.0776,0.241,0.074,-1.404,0.053,4.055,0.077,-0.225,-0.184,17.41,1.149,0.003,0.007
180,115.9331,-24.0739,0.15,0.074,-0.994,0.053,1.442,0.077,-0.221,-0.19,17.515,2.016,0.003,0.01
181,115.9218,-24.0688,0.364,0.219,-0.628,0.167,0.841,0.242,-0.216,-0.2,18.813,1.449,0.004,0.046
182,115.9136,-24.0654,0.744,0.056,-2.578,0.038,-1.029,0.06,-0.213,-0.208,16.558,0.953,0.007,0.139
183,115.9259,-24.0705,-0.051,0.149,-1.077,0.105,2.319,0.161,-0.218,-0.196,18.601,1.461,0.003,0.027
184,115.9223,-24.0679,0.988,0.031,1.672,0.024,0.017,0.034,-0.215,-0.2,14.263,0.748,0.003,0.005
185,115.9226,-24.0703,0.502,0.044,-4.534,0.032,3.781,0.045,-0.218,-0.199,16.527,1.273,0.003,0.007
186,115.9205,-24.0731,0.271,0.016,-2.148,0.011,3.312,0.017,-0.22,-0.201,14.109,0.658,0.003,0.005
187,115.9133,-24.0656,0.741,0.031,-1.993,0.022,-0.882,0.031,-0.213,-0.208,15.32,0.941,0.003,0.017
188,115.9167,-24.0805,0.378,0.027,-2.159,0.019,5.342,0.029,-0.228,-0.205,15.513,0.969,0.003,0.005
189,115.933,-24.0666,0.326,0.058,-1.915,0.042,2.334,0.061,-0.214,-0.19,16.979,1.219,0.003,0.007
190,115.9205,-24.0643,0.15,0.121,-2.297,0.084,0.413,0.135,-0.212,-0.201,18.238,1.344,0.003,0.015
191,115.9295,-24.0631,0.107,0.163,-1.007,0.117,2.031,0.177,-0.21,-0.193,18.805,1.183,0.003,0.027
192,115.925,-24.0628,0.092,0.107,-0.7,0.075,1.164,0.111,-0.21,-0.197,17.972,2.066,0.003,0.018
193,115.9326,-24.0579,0.426,0.066,-2.353,0.046,3.595,0.071,-0.205,-0.19,17.312,1.284,0.003,0.009
194,115.9307,-24.0579,0.318,0.085,-3.984,0.06,3.606,0.091,-0.205,-0.192,17.77,1.395,0.003,0.018
195,115.9227,-24.0576,0.287,0.175,-2.422,0.119,0.172,0.191,-0.205,-0.199,18.875,1.384,0.003,0.031
196,115.9268,-24.06,0.198,0.072,-2.41,0.051,2.354,0.076,-0.207,-0.196,17.485,1.239,0.003,0.009
197,115.9231,-24.0609,,,,,,,-0.208,-0.199,16.44,1.127,0.009,0.005
198,115.9222,-24.0626,0.269,0.068,-2.774,0.049,1.77,0.072,-0.21,-0.2,17.293,1.189,0.003,0.008
199,115.9182,-24.0609,0.384,0.104,-0.678,0.072,1.211,0.118,-0.208,-0.203,18.007,1.364,0.003,0.016
200,116.0234,-24.1,0.84,0.015,-4.434,0.01,2.957,0.014,-0.247,-0.107,13.371,0.632,0.003,0.005
201,116.0162,-24.0939,0.274,0.037,-1.546,0.026,3.027,0.036,-0.241,-0.114,16.105,0.823,0.003,0.006
202,116.0122,-24.0972,0.41,0.029,-1.433,0.02,-0.307,0.029,-0.244,-0.118,15.608,1.457,0.003,0.006
203,116.033,-24.1014,3.213,0.025,-2.373,0.017,-3.305,0.025,-0.248,-0.099,11.417,0.861,0.003,0.005
204,116.0441,-24.0905,0.26,0.02,-2.07,0.013,1.738,0.02,-0.238,-0.088,14.697,0.67,0.003,0.005
205,116.0446,-24.088,0.703,0.161,2.463,0.097,-3.699,0.144,-0.235,-0.088,18.464,1.843,0.003,0.028
206,116.0521,-24.0866,0.647,0.1,-3.732,0.07,6.108,0.093,-0.234,-0.081,17.81,1.22,0.003,0.012
207,116.0495,-24.0969,0.314,0.21,-0.794,0.131,1.521,0.191,-0.244,-0.084,18.954,1.325,0.003,0.034
208,116.0438,-24.0895,-0.175,0.202,-1.807,0.121,1.756,0.174,-0.237,-0.089,18.761,1.205,0.003,0.027
209,116.052,-24.0912,0.831,0.022,-3.039,0.015,3.0,0.022,-0.238,-0.081,14.878,0.8,0.003,0.005
210,116.0483,-24.086,0.369,0.072,-1.176,0.047,3.413,0.069,-0.233,-0.085,17.252,1.094,0.003,0.01
211,116.0484,-24.0972,0.221,0.027,-1.171,0.018,1.299,0.026,-0.244,-0.084,15.4,0.95,0.003,0.005
