EDR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 522660342687368448,16.87242358168,62.1289677008,0.1146,0.1761,-2.46,0.147,0.769,0.169,18.767792,0.003209,2.107609,0.044563525824982
Gaia EDR3 522660342687393280,16.85479563014,62.1378968654,0.3671,0.0791,-0.634,0.069,-2.078,0.077,17.331575,0.002859,2.102585,0.013293530389772
Gaia EDR3 522660342687393408,16.8499185666,62.13952247288,0.2998,0.1651,-2.135,0.137,-0.253,0.164,18.587595,0.003163,2.217184,0.049979322494389
Gaia EDR3 522660346992794496,16.85205445668,62.13818923915,0.3884,0.0833,-2.384,0.069,-0.644,0.085,17.391031,0.002861,1.754524,0.01448377097326
Gaia EDR3 522660377047141120,16.88078209498,62.14390133388,0.384,0.1231,-0.707,0.102,-0.854,0.117,18.185753,0.002993,2.149452,0.033095463644178
Gaia EDR3 522660381352528768,16.84986521071,62.15072289391,0.3604,0.034,-2.079,0.028,-0.515,0.034,15.804102,0.002773,1.387825,0.005583353925565
Gaia EDR3 522660381352531072,16.85312061587,62.14476406815,0.4089,0.0503,-4.851,0.041,-2.093,0.051,16.458347,0.002938,2.317527,0.0116962938794
Gaia EDR3 522660381352531456,16.87755074803,62.14400408988,0.9421,0.0893,-0.953,0.074,-3.276,0.086,17.52835,0.002926,2.372715,0.016857267605911
Gaia EDR3 522660381352531840,16.87181688953,62.14222966869,1.5192,0.0321,8.718,0.026,-7.964,0.031,15.621495,0.002784,1.605306,0.005820652589871
Gaia EDR3 522660411406879360,16.89621243315,62.14268020325,0.5372,0.1547,-2.538,0.128,-0.649,0.148,18.569588,0.00336,1.849056,0.026022518102747
Gaia EDR3 522660411411679616,16.889010763,62.15446236303,-0.213,0.2288,-1.42,0.179,-0.269,0.196,18.979372,0.003415,1.779945,0.047314679767251
Gaia EDR3 522660415712270080,16.89255416172,62.14358827712,1.0279,0.029,2.437,0.024,-2.186,0.028,15.40699,0.002768,1.639426,0.005535062789027
Gaia EDR3 522660445766662528,16.89782883476,62.16603926095,0.0326,0.2204,-0.645,0.169,-0.542,0.201,18.994482,0.003463,2.09898,0.047851492066941
Gaia EDR3 522660484431740160,16.85665374055,62.16384181548,0.2076,0.0482,-2.177,0.036,-0.238,0.046,16.295074,0.002805,2.390898,0.009177122291667
Gaia EDR3 522660514486131584,16.88584799203,62.16173487575,0.2315,0.1162,4.037,0.09,-0.156,0.108,18.000996,0.002952,1.970741,0.021861430597986
Gaia EDR3 522660514486138496,16.88590314206,62.16531476269,-0.034,0.1002,-0.797,0.079,0.227,0.098,17.71894,0.002908,2.042011,0.021830957231209
Gaia EDR3 522660518791478400,16.86640853133,62.16468308067,0.3824,0.0734,-3.017,0.057,-0.847,0.071,17.114634,0.002851,1.902979,0.013206315557926
Gaia EDR3 522660548845746048,16.79672614633,62.10450311447,0.1869,0.1064,-2.675,0.085,-0.578,0.102,16.83979,0.002905,1.817417,0.010400866513743
Gaia EDR3 522660553151138944,16.79722975173,62.10446466438,0.7223,0.1596,-2.696,0.124,-0.56,0.284,18.178375,0.003297,,
Gaia EDR3 522660553151139456,16.79105703694,62.09953493409,0.4894,0.0663,-3.081,0.055,-1.783,0.061,17.120955,0.002834,1.909519,0.009376692402707
Gaia EDR3 522660583205496448,16.81467792369,62.11029505639,0.2573,0.1168,-1.202,0.098,-0.874,0.109,18.088295,0.002978,2.092915,0.029565794842764
Gaia EDR3 522660583205503744,16.79221652498,62.11261128889,-1.7873,0.4716,-3.099,0.409,0.977,0.464,17.017502,0.004607,1.543734,0.010735162085083
