DR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
6977,6.5432,61.4597,0.1561,0.0581,3.914,-3.898,0.049,-0.347,0.058,17.006142,0.002825,2.002562,0.0088
6978,6.5306,61.4562,0.3252,0.0866,1.836,-0.431,0.066,-1.785,0.137,17.018011,0.002909,nan,nan
6979,6.55,61.4714,0.7823,0.0257,12.709,-12.241,0.023,3.415,0.028,15.251225,0.002847,1.058835,0.0292
6980,6.5487,61.4703,0.6202,0.1218,5.438,5.117,0.111,-1.842,0.134,18.2532,0.003109,1.286419,0.032
6981,6.5249,61.4768,0.1017,0.1137,0.952,-0.938,0.095,-0.163,0.112,18.001076,0.002949,2.190912,0.0266
6982,6.5317,61.477,0.1318,0.0756,1.976,-1.821,0.064,-0.768,0.074,17.451494,0.002903,1.592537,0.0172
6983,6.5334,61.4761,1.7928,0.0502,20.328,20.312,0.042,-0.795,0.051,16.438251,0.00282,1.915037,0.0087
6984,6.5245,61.4747,0.7176,0.1085,3.396,1.403,0.094,-3.093,0.113,18.113592,0.002968,1.784779,0.0281
6985,6.5249,61.4735,0.3385,0.1362,0.769,-0.762,0.118,-0.107,0.144,18.496626,0.003142,1.366755,0.0259
6986,6.5415,61.4734,0.1718,0.0415,2.124,-2.123,0.035,-0.063,0.042,16.27935,0.002801,2.236951,0.0079
