Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,Gmag,BP-RP,e_Gmag,e_BP-RP
789,118.9324,-60.6311,2.4216,0.0102,-3.2579,0.0147,11.4961,0.0119,22.4438,1.7895,12.3459,0.8348,0.0028,0.0049
790,119.3718,-60.7689,2.4769,0.061,-4.9286,0.0821,10.9262,0.066,,,17.1479,2.3981,0.003,0.0192
791,119.074,-60.6075,2.4668,0.0161,-4.2434,0.0221,13.26,0.0217,10.2188,3.9466,10.1107,0.2779,0.0028,0.0047
792,119.0481,-60.6082,2.4387,0.015,-4.2633,0.0205,11.7026,0.0187,22.4929,2.7066,11.2173,0.5693,0.0028,0.0053
794,119.0341,-60.6203,2.5077,0.13,-3.5036,0.1664,12.0599,0.1569,,,18.3573,2.8138,0.0032,0.0648
795,119.0338,-60.6332,2.41,0.0276,-3.8883,0.0415,10.6302,0.0326,18.0637,3.3055,13.9903,1.1663,0.0028,0.0055
796,119.0361,-60.6385,2.3193,0.1676,-4.4409,0.2382,11.9002,0.1888,,,18.2195,3.0247,0.0034,0.054
797,117.1845,-59.3088,2.4559,0.0447,-5.2892,0.0533,12.086,0.0528,,,16.683,2.0886,0.0028,0.012
798,119.0634,-60.6393,2.4165,0.0438,-5.4821,0.0646,11.1362,0.0514,,,16.6564,2.2916,0.0032,0.0127
799,119.1639,-61.4652,2.4171,0.0124,-4.6034,0.0173,11.4427,0.018,21.7693,2.1443,12.8142,0.9247,0.0028,0.005
800,119.0621,-60.6467,2.434,0.0776,-3.9049,0.1106,10.8783,0.0907,,,17.656,2.4706,0.003,0.0212
801,119.4076,-61.4481,2.5307,0.1429,-4.8951,0.1926,10.9961,0.2024,,,18.8338,2.9729,0.0035,0.0702
802,120.9978,-59.8294,2.4094,0.0284,-4.9332,0.0372,10.6873,0.0341,,,16.0325,1.8371,0.0031,0.0088
804,121.1117,-59.7605,2.3832,0.0101,-5.1369,0.0133,10.3506,0.0113,23.8271,4.2521,12.1367,0.7866,0.0028,0.0048
805,120.1999,-60.8656,2.4121,0.0119,-5.7025,0.0147,11.3884,0.0133,27.7634,3.1596,13.7975,1.0843,0.0028,0.0052
806,118.3529,-61.6582,2.3707,0.0153,-3.8297,0.0217,11.438,0.0209,24.7155,3.8869,14.4359,1.2646,0.0028,0.0051
810,122.8821,-59.5398,2.3469,0.0114,-4.8213,0.0141,10.744,0.015,26.5773,1.9841,11.4054,0.6001,0.0028,0.0047
811,120.3913,-60.8606,2.4426,0.0221,-4.9107,0.0292,11.4848,0.0272,,,15.3321,1.5385,0.003,0.0079
812,120.3453,-60.8848,2.44,0.0287,-4.4445,0.0377,11.6675,0.0355,,,15.8816,1.7614,0.0029,0.0074
814,120.3033,-60.898,2.4642,0.0107,-4.8945,0.0131,11.6,0.013,23.5058,1.6363,12.7995,0.8882,0.0032,0.0086
815,119.2274,-60.7883,2.3904,0.0442,-3.803,0.0647,11.5913,0.0533,,,16.4032,2.2453,0.003,0.0112
816,120.397,-60.895,2.4552,0.1195,-5.0914,0.1589,11.1538,0.1495,,,18.1646,2.6426,0.0031,0.0364
817,120.5169,-60.9017,2.4277,0.0196,-5.3271,0.0256,11.7629,0.0267,40.7692,5.1476,14.8824,1.4325,0.0028,0.0054
818,120.4834,-60.9432,2.4055,0.0093,-4.9458,0.0113,10.7715,0.0122,21.6213,1.0138,12.0184,0.7311,0.0028,0.0047
821,120.4024,-60.9839,2.4735,0.01,-4.5798,0.012,11.7828,0.0124,25.1482,2.8628,13.2996,0.9617,0.0028,0.0051
